upstream,internal
Rv0103c,Rv0104
Rv2699c ,
Rv2700,
,Rv0010c
,Rv3689
,Rv2245
Rv1552,
Rv3616c,
Rv3617,
Rv2591,
Rv2584c,Rv2585c
Rv3857c,
Rv2362c,
,Rv2363
ncRv13843,
Rv0232,
,Rv1592c
Rv1482c,
Rv1483,
,Rv0013
Rv1548c,Rv1549
Rv1550,Rv1549
,Rv3450c
Rv2485c,
,tRNA-Arg
Rv0457c,
Rv0458,
Rv1714,Rv1713
,Rv1539
Rv1538c,
Rv0078A,
Rv0079,
Rv0167,
Rv2865,
,Rv0393
Rv0884c,
Rv0885,
Rv2455c,
Rv0655,
,Rv1358
Rv2703,Rv2702
Rv2199c,Rv2200
Rv1757c,Rv1758
,Rv2459
Rv1566c,
Rv1386,
,Rv0737
,Rv0823c
Rv2406c,
Rv2407,
,Rv0980
Rv0165c,
Rv0166,
Rv3686c,
Rv0145,
,Rv2221c
,Rv0289
,Rv0471c
Rv3645,Rv3644c
Rv2180c,Rv2181
,Rv2329c
Rv0867c,
Rv2733c,Rv2734
Rv1891,
Rv1115,
Rv1779c,
Rv1780,
Rv1111c,Rv1112
,Rv0291
Rv1292,
,Rv2378
Rv0451c,
Rv0452,
Rv0360c,
Rv0361,
,Rv2733c
Rv2930,Rv2929
Rv3053c,
Rv0346c,
,Rv1832
Rv2286c,
Rv2287,
Rv0805,
Rv0250c,
,Rv0812
Rv1009,Rv1008
,Rv3882c
,Rv3703c
Rv2173,Rv2172c
Rv3295,
Rv3776,
Rv0485,Rv0484c
Rv2798c,Rv2797c
Rv2799,Rv2797c
Rv1408,Rv1407
Rv0647c,
Rv1535,
,Rv2524c
,Rv3296
Rv3729,
Rv1057,
Rv3742c,
Rv0117,
,Rv0116c
Rv2590,
Rv3802c,Rv3803c
Rv1586c,Rv1587c
Rv2188c,Rv2189c
,tRNA-Ser
,Rv1420
,Rv1923
Rv1405c,
Rv1406,
Rv0091,
Rv0193c,Rv0194
,Rv0470c
,Rv2181
Rv1748,Rv1747
Rv1706c,
Rv1192,
Rv1379,Rv1378c
Rv2408,
Rv3098c,
,Rv3723
,Rv1451
Rv2758c,
Rv3483c,
Rv3484,
tRNA-Val,
tRNA-Gly,
Rv1854c,
,Rv1651c
,Rv0006
Rv3611,
,Rv3610c
,Rv3076
,Rv2873
,Rv0497
,Rv3878
Rv1492,
,Rv1491c
,Rv0271c
Rv3260c,
Rv3261,
,Rv0150c
,Rv3812
,Rv1310
Rv2107,
,Rv0962c
,Rv2681
Rv3907c,
Rv3908,
Rv2144c,Rv2145c
,Rv2200
tRNA-Gln,
,tRNA-Glu
Rv1367c,
Rv1368,
Rv2712c,Rv2713
Rv0993,
,Rv0339c
Rv2705c,Rv2706c
Rv2707,Rv2706c
,Rv2590
,Rv1069c
Rv2396,
Rv1194c,
Rv1195,
,Rv1660
,Rv2933
intergenic,
,Rv0103c
,Rv2609c
Rv1230c,
,Rv1225c
Rv3680,Rv3679
,Rv3350c
Rv2243,
Rv1810,
Rv2990c,
Rv2991,
Rv3252c,
,Rv2019
Rv1790,
,Rv0469
,Rv1508c
,ncRv13661
Rv0054,
,Rv2400
,Rv3109
MTS1082,
Rv0667,
,Rv3124
Rv0075,Rv0074
,Rv0046c
,Rv1398c
,Rv2067c
,Rv0169
Rv3801c,
,Rv3710
,Rv3629c
,Rv3350c
Rv3697A,Rv3698
,Rv3698
Rv0467,Rv0466
Rv0950c,
Rv0950c,
Rv0483,Rv0482
Rv0483,Rv0482
,Rv2451
,Rv2451
,Rv2451
Rv1324,
,Rv1324
,Rv1324
Rv2846c,Rv2847c
Rv2846c,Rv2847c
Rv3681c,
Rv3681c,
Rv3219,
Rv3219,
Rv3219,
Rv1592c,
Rv1592c,
Rv1158c,
Rv1158c,
Rv0249c,
Rv0249c,
Rv3428c,
Rv3428c,
Rv0537c,
Rv0537c,
Rv3902c,Rv3903c
Rv3902c,Rv3903c
Rv0700,
Rv0700,
Rv1116,
Rv3462c,
Rv3661,ncRv13660c
,
,
,
,
,
,
,
,
,